n_victimas,aaaa,mm,dd,franja_hora,comuna,localidad,victima
1,2019,1,1,9,14, Palermo  ,CICLISTA
1,2019,1,1,1,8, Villa Soldati  ,AUTO
1,2019,1,1,2,7, Parque Chacabuco,PEATON
4,2019,1,1,4,3, Balvanera  ,AUTO
2,2019,1,1,8,15, Chacarita  ,MOTO
1,2019,1,1,7,11, Villa Devoto  ,MOTO
1,2019,1,1,7,9, Liniers  ,AUTO
1,2019,1,1,9,1, Retiro  ,MOTO
1,2019,1,1,12,4, Nueva Pompeya  ,AUTO
1,2019,1,1,12,7, Flores  ,AUTO
3,2019,1,1,13,11, Villa Devoto  ,AUTO
1,2019,1,1,18,9, Mataderos  ,AUTO
1,2019,1,1,18,12, Villa Pueyrredon  ,MOTO
1,2019,1,1,21,9, Mataderos  ,AUTO
1,2019,1,2,15,1, San Nicolas  ,CICLISTA
1,2018,1,2,7,5, Boedo  ,MOTO
5,2018,1,2,8,6, Caballito  ,TRANSPORTE PUBLICO
1,2018,1,2,12,5, Boedo  ,CAMIONETA
1,2018,1,2,12,14, Palermo  ,PEATON
1,2018,1,2,13,13, Nuñez  ,MOTO
1,2018,1,2,14,1, Retiro  ,MOTO
1,2018,1,2,7,1, Retiro  ,AUTO
1,2018,1,3,2,1, San Nicolas  ,MOTO
1,2018,1,3,13,3, Balvanera  ,MOTO
1,2018,1,3,14,12, Saavedra  ,AUTO
1,2018,1,3,18,12, Saavedra  ,MOTO
1,2018,1,3,20,15, Agronomia  ,PEATON
1,2018,1,3,20,10, Parque Avellaneda  ,MOTO
1,2018,1,3,21,7, Caballito  ,MOTO
1,2018,1,4,10,13, Belgrano  ,CICLISTA
1,2018,1,4,13,12, Saavedra  ,CICLISTA
2,2018,1,4,2,3, Balvanera  ,MOTO
1,2018,1,4,8,3, San Cristobal  ,MOTO
1,2018,1,4,2,9, Mataderos  ,PEATON
2,2018,1,4,9,10, Villa Luro  ,MOTO
1,2018,1,4,9,12, Villa Pueyrredon  ,AUTO
1,2018,1,4,10,1, San Telmo  ,PEATON
1,2018,1,4,9,12, Villa Pueyrredon  ,PEATON
1,2018,1,4,12,11, Villa Santa Rita  ,MOTO
1,2018,1,4,14,9, Parque Avellaneda  ,AUTO
1,2018,1,4,15,6, Caballito  ,MOTO
1,2018,1,4,16,4, Barracas  ,MOTO
1,2018,1,4,17,9, Liniers  ,PEATON
1,2018,1,4,16,15, Agronomia  ,MOTO
1,2018,1,4,19,5, Boedo  ,AUTO
1,2018,1,4,5,15, Chacarita  ,PEATON
1,2018,1,4,20,6, Caballito  ,MOTO
1,2018,1,4,22,10, Villa Real  ,MOTO
1,2018,1,4,18,15, Palermo  ,PEATON
1,2018,1,4,22,13, Colegiales  ,PEATON
1,2018,1,4,23,4, Parque Patricios  ,AUTO
1,2018,1,4,21,10, Monte Castro  ,PEATON
1,2018,1,4,15,3, San Cristobal  ,TRANSPORTE PUBLICO
1,2018,1,4,16,14, Almagro  ,MOTO
1,2018,1,5,13,10, Villa Luro  ,CICLISTA
1,2018,1,5,23,3, Balvanera  ,CICLISTA
3,2018,1,5,6,4, Nueva Pompeya  ,TRANSPORTE PUBLICO
1,2018,1,5,9,3, San Cristobal  ,AUTO
1,2018,1,5,8,3, San Cristobal  ,PEATON
1,2018,1,5,11,10, Velez Sarsfield  ,MOTO
1,2018,1,5,11,3, San Cristobal  ,PEATON
1,2018,1,5,6,1, San Nicolas  ,MOTO
1,2018,1,5,15,15, Villa Crespo  ,PEATON
1,2018,1,5,16,13, Nuñez,TRANSPORTE PUBLICO
1,2018,1,5,19,8, Villa Riachuelo  ,MOTO
1,2019,1,5,23,15, Villa Del Parque  ,MOTO
1,2021,1,5,21,10, Velez Sarsfield  ,PEATON
1,2021,1,6,2,7, Flores  ,CICLISTA
1,2021,1,6,3,11, Villa Devoto  ,AUTO
1,2021,1,6,7,2, Recoleta  ,MOTO
1,2021,1,6,8,1, San Nicolas  ,AUTO
2,2021,1,6,12,1, Constitucion  ,MOTO
1,2021,1,6,18,2, Recoleta  ,MOTO
1,2021,1,6,18,6, Caballito  ,MOTO
1,2021,1,6,19,15, Villa Crespo  ,TRANSPORTE PUBLICO
1,2021,1,6,20,14, Palermo  ,MOTO
2,2021,1,6,21,12, Saavedra  ,MOTO
1,2021,1,7,20,7, Flores  ,CICLISTA
1,2021,1,7,12,11, Villa Real  ,CICLISTA
1,2021,1,7,9,13, Nuñez  ,PEATON
1,2021,1,7,7,9, Mataderos  ,TRANSPORTE PUBLICO
1,2021,1,7,10,3, Balvanera  ,MOTO
2,2021,1,7,8,3, San Cristobal  ,MOTO
1,2021,1,7,12,1, Monserrat  ,MOTO
1,2021,1,7,13,1, Constitucion  ,TRANSPORTE PUBLICO
1,2021,1,7,14,5, Boedo  ,MOTO
1,2021,1,7,13,12, Saavedra  ,MOTO
1,2021,1,7,15,9, Mataderos  ,MOTO
1,2021,1,7,16,1, Constitucion  ,MOTO
1,2021,1,7,18,12, Saavedra  ,PEATON
4,2021,1,7,19,1, Retiro ,TRANSPORTE PUBLICO
1,2021,1,8,23,1, Monserrat  ,CICLISTA
1,2021,1,8,9,5, Almagro  ,CICLISTA
1,2021,1,8,10,5, Boedo ,CICLISTA
1,2021,1,8,10,15, Villa Crespo  ,CICLISTA
1,2021,1,8,9,3, Balvanera  ,MOTO
1,2021,1,8,8,3, Balvanera  ,MOTO
1,2021,1,8,9,13, Nuñez  ,MOTO
1,2021,1,8,17,10, Floresta  ,MOTO
1,2022,1,8,14,7, Flores  ,MOTO
1,2022,1,8,13,7, Flores  ,PEATON
1,2022,1,8,19,8, Villa Soldati  ,MOTO
1,2022,1,9,21,15, Villa Crespo  ,CICLISTA
1,2022,1,9,8,10, Villa Real  ,MOTO
1,2022,1,9,11,9, Liniers  ,MOTO
1,2022,1,9,13,7, Parque Chacabuco  ,AUTO
1,2018,1,9,23,15, Belgrano  ,MOTO
1,2018,1,10,11,1, Retiro  ,AUTO
1,2018,1,10,15,4, Barracas  ,AUTO
1,2018,1,10,19,9, Mataderos  ,MOTO
1,2018,1,10,18,1, Retiro  ,PEATON
1,2018,1,11,11,7, Flores  ,CICLISTA
1,2018,1,11,14,1, Puerto Madero  ,CICLISTA
1,2018,1,11,20,13, Nuñez  ,CICLISTA
1,2018,1,11,19,15, Villa Crespo  ,CICLISTA
1,2018,1,11,9,15, Agronomia  ,MOTO
2,2018,1,11,8,10, Parque Avellaneda  ,MOTO
1,2018,1,11,8,2, Balvanera  ,AUTO
1,2021,1,11,12,5, Almagro  ,MOTO
1,2021,1,11,12,3, San Cristobal  ,PEATON
1,2021,1,11,15,4, Nueva Pompeya  ,MOTO
1,2021,1,11,19,4, Parque Patricios  ,MOTO
1,2021,1,11,11,1, Recoleta  ,MOTO
1,2019,1,12,7,14, Palermo  ,MOTO
1,2019,1,12,14,10, Liniers  ,AUTO
1,2019,1,12,13,7, Flores  ,PEATON
1,2019,1,12,12,9, Villa Lugano  ,MOTO
2,2019,1,12,22,4, Parque Patricios  ,AUTO
1,2019,1,12,20,14, Recoleta  ,MOTO
2,2023,1,13,18,4, Barracas  ,MOTO
1,2023,1,13,23,7, Flores  ,MOTO
2,2023,1,13,2,15, Villa Crespo  ,MOTO
1,2023,1,14,11,14, Palermo  ,CICLISTA
1,2023,1,14,13,1, San Nicolas  ,CICLISTA
1,2023,1,14,17,11, Villa Devoto  ,CICLISTA
2,2023,1,14,1,1, Puerto Madero  ,MOTO
1,2023,1,14,13,4, Nueva Pompeya  ,MOTO
1,2023,1,14,11,6, Caballito  ,MOTO
1,2019,1,14,15,12, Saavedra  ,MOTO
1,2019,1,14,15,1, San Nicolas  ,AUTO
1,2019,1,14,20,4, Nueva Pompeya  ,MOTO
1,2019,1,14,19,14, Palermo  ,AUTO
1,2018,1,15,20,13, Belgrano  ,CICLISTA
1,2018,1,15,8,1, San Nicolas  ,PEATON
1,2018,1,15,9,15, Villa Ortuzar  ,AUTO
1,2018,1,15,9,3, San Cristobal  ,AUTO
1,2018,1,15,15,3, Balvanera  ,PEATON
1,2018,1,15,16,1, San Nicolas  ,PEATON
1,2018,1,15,10,4, Nueva Pompeya  ,MOTO
1,2018,1,15,17,2, Recoleta  ,MOTO
1,2019,1,15,17,3, Balvanera  ,MOTO
1,2019,1,15,23,2, Balvanera  ,MOTO
1,2019,1,15,18,11, Villa Gral. Mitre  ,AUTO
1,2019,1,16,12,4, Barracas  ,CICLISTA
1,2019,1,16,17,1, Constitucion  ,CICLISTA
1,2019,1,16,17,15, Chacarita  ,CICLISTA
1,2021,1,16,14,1, San Telmo  ,MOTO
1,2021,1,16,15,10, Velez Sarsfield  ,MOTO
1,2021,1,16,19,3, San Cristobal  ,MOTO
1,2021,1,16,17,12, Villa Urquiza  ,MOTO
1,2021,1,16,15,3, Balvanera  ,PEATON
1,2019,1,16,23,15, Villa Ortuzar  ,MOTO
1,2023,1,16,19,7, Flores  ,MOTO
1,2023,1,17,8,11, Villa Devoto  ,CICLISTA
1,2023,1,17,18,12, Saavedra  ,CICLISTA
1,2023,1,17,21,1, Monserrat  ,CICLISTA
1,2023,1,17,12,10, Velez Sarsfield  ,PEATON
1,2023,1,17,14,1, Monserrat  ,MOTO
1,2023,1,17,13,14, Palermo  ,MOTO
1,2020,1,17,19,2, Recoleta  ,AUTO
1,2020,1,17,17,13, Belgrano  ,MOTO
1,2020,1,18,14,5, Almagro  ,CICLISTA
1,2020,1,18,18,11, Villa Del Parque  ,CICLISTA
1,2020,1,18,19,3, Balvanera  ,CICLISTA
1,2020,1,18,3,4, Nueva Pompeya  ,MOTO
1,2018,1,18,10,9, Mataderos  ,MOTO
1,2018,1,18,13,13, Nuñez  ,MOTO
1,2018,1,18,12,15, Villa Crespo  ,TRANSPORTE PUBLICO
1,2018,1,18,16,10, Monte Castro  ,MOTO
1,2022,1,18,13,6, Almagro  ,MOTO
1,2022,1,18,17,15, Parque Chas  ,PEATON
1,2022,1,19,19,6, Caballito  ,CICLISTA
2,2018,1,19,13,7, Flores  ,AUTO
1,2018,1,19,19,9, Mataderos  ,MOTO
1,2019,1,19,11,14, Palermo  ,TRANSPORTE PUBLICO
1,2019,1,19,18,9, Mataderos  ,TRANSPORTE PUBLICO
1,2019,1,19,16,4, Barracas  ,PEATON
1,2019,1,20,12,12, Saavedra  ,CICLISTA
1,2019,1,20,23,1, Retiro  ,CICLISTA
1,2019,1,20,7,11, Villa Devoto  ,CAMIONETA
1,2019,1,20,9,5, Almagro  ,PEATON
1,2019,1,20,8,12, Villa Pueyrredon  ,PEATON
1,2019,1,20,11,1, San Nicolas  ,PEATON
1,2019,1,20,14,10, Velez Sarsfield  ,MOTO
2,2019,1,20,17,1, Boca  ,PEATON
2,2019,1,20,20,7, Flores  ,AUTO
2,2019,1,20,19,11, Villa Real  ,MOTO
1,2021,1,20,20,10, Velez Sarsfield  ,TRANSPORTE PUBLICO
1,2021,1,20,23,14, Palermo  ,AUTO
3,2021,1,20,23,15, Villa Crespo  ,AUTO
1,2021,1,20,22,15, Villa Crespo  ,MOTO
1,2021,1,21,19,4, Parque Patricios  ,CICLISTA
1,2021,1,21,8,7, Flores  ,TRANSPORTE PUBLICO
1,2021,1,21,9,13, Belgrano  ,MOTO
1,2021,1,21,10,11, Villa Gral. Mitre  ,AUTO
1,2021,1,21,11,14, Palermo  ,MOTO
1,2019,1,21,10,9, Mataderos  ,MOTO
1,2019,1,21,10,1, San Nicolas  ,MOTO
1,2019,1,21,11,9, Mataderos  ,AUTO
1,2019,1,21,12,14, Palermo  ,TRANSPORTE PUBLICO
1,2019,1,21,14,11, Villa Gral. Mitre  ,MOTO
1,2019,1,21,16,4, Parque Patricios  ,AUTO
2,2019,1,21,16,8, Villa Riachuelo  ,AUTO
1,2019,1,21,19,1, Constitucion  ,MOTO
1,2020,1,22,22,1, San Telmo  ,CICLISTA
1,2020,1,22,18,14, Palermo  ,CICLISTA
1,2020,1,22,20,5, Boedo  ,CICLISTA
1,2020,1,22,0,6, Caballito  ,PEATON
1,2020,1,22,7,15, Chacarita  ,MOVIL
1,2020,1,22,10,2, Recoleta  ,PEATON
1,2020,1,22,11,1, Constitucion  ,MOTO
2,2023,1,22,12,1, San Telmo  ,MOTO
1,2023,1,22,18,15, Villa Crespo  ,MOTO
